supplier_id,name,lead_time_mean,lead_time_std,defect_rate,late_shipments_rate,financial_score,risk_label_numeric
S0001,Supplier A,11.99,2.58,0.055,0.138,0.503,0.346
S0002,Supplier B,9.45,2.55,0.024,0.151,0.608,0.282
S0003,Supplier C,12.59,1.2,0.02,0.024,0.982,0.149
S0004,Supplier D,16.09,2.67,0.023,0.184,0.868,0.283
S0005,Supplier E,9.06,3.73,0.092,0.184,0.57,0.33
S0006,Supplier F,9.06,1.73,0.017,0.047,0.738,0.195
S0007,Supplier G,16.32,4.05,0.057,0.151,0.643,0.354
S0008,Supplier H,13.07,3.49,0.115,0.151,0.694,0.329
S0009,Supplier I,8.12,2.27,0.051,0.177,0.613,0.289
S0010,Supplier J,12.17,2.86,0.117,0.04,0.568,0.314
S0011,Supplier K,8.15,4.6,0.114,0.164,0.805,0.251
S0012,Supplier L,8.14,3.73,0.044,0.085,0.867,0.173
S0013,Supplier M,10.97,3.01,0.112,0.137,0.924,0.232
S0014,Supplier N,2.35,2.76,0.115,0.198,0.493,0.301
S0015,Supplier O,3.1,3.08,0.066,0.182,0.894,0.162
S0016,Supplier P,7.75,2.49,0.039,0.047,0.553,0.246
S0017,Supplier Q,5.95,0.9,0.083,0.156,0.656,0.258
S0018,Supplier R,11.26,5.04,0.139,0.243,0.941,0.283
S0019,Supplier S,6.37,3.16,0.1,0.056,0.673,0.224
S0020,Supplier T,4.35,3.4,0.034,0.216,0.518,0.288
S0021,Supplier U,15.86,2.94,0.106,0.182,0.496,0.425
S0022,Supplier V,9.1,2.26,0.07,0.198,0.684,0.293
S0023,Supplier W,10.27,2.81,0.093,0.085,0.858,0.216
S0024,Supplier X,4.3,1.4,0.113,0.086,0.998,0.123
S0025,Supplier Y,7.82,5.28,0.082,0.228,0.872,0.241
S0026,Supplier Z,10.44,1.77,0.124,0.103,0.926,0.217
S0027,Supplier A,5.4,1.97,0.111,0.034,0.849,0.158
S0028,Supplier B,11.5,2.56,0.096,0.158,0.937,0.236
S0029,Supplier C,7.6,4.29,0.031,0.049,0.446,0.274
S0030,Supplier D,8.83,3.01,0.127,0.203,0.958,0.233
S0031,Supplier E,7.59,1.76,0.141,0.168,0.638,0.308
S0032,Supplier F,17.41,4.25,0.029,0.221,0.953,0.288
S0033,Supplier G,9.95,3.73,0.078,0.201,0.445,0.377
S0034,Supplier H,5.77,3.54,0.046,0.046,0.829,0.146
S0035,Supplier I,13.29,3.72,0.116,0.108,0.841,0.27
S0036,Supplier J,5.12,5.39,0.111,0.198,0.998,0.175
S0037,Supplier K,10.84,5.19,0.03,0.116,0.861,0.208
S0038,Supplier L,2.16,2.31,0.133,0.244,0.63,0.283
S0039,Supplier M,4.69,4.62,0.035,0.189,0.734,0.216
S0040,Supplier N,10.79,3.38,0.122,0.024,0.62,0.28
S0041,Supplier O,12.95,3.5,0.074,0.222,0.518,0.393
S0042,Supplier P,10.69,1.31,0.056,0.043,0.549,0.282
S0043,Supplier Q,9.54,2.83,0.032,0.052,0.533,0.269
S0044,Supplier R,8.8,2.19,0.033,0.189,0.729,0.258
S0045,Supplier S,4.09,3.83,0.103,0.219,0.944,0.186
S0046,Supplier T,7.12,4.07,0.087,0.143,0.948,0.179
S0047,Supplier U,8.16,0.93,0.027,0.086,0.433,0.297
S0048,Supplier V,14.23,2.98,0.026,0.101,0.448,0.359
S0049,Supplier W,11.37,4.12,0.02,0.099,0.547,0.297
S0050,Supplier X,2.95,2.81,0.114,0.095,0.553,0.247
S0051,Supplier Y,11.3,3.73,0.11,0.076,0.457,0.35
S0052,Supplier Z,8.46,3.35,0.018,0.16,0.633,0.266
S0053,Supplier A,7.29,3.34,0.088,0.227,0.753,0.273
S0054,Supplier B,12.45,2.73,0.022,0.091,0.747,0.245
S0055,Supplier C,14.12,1.78,0.137,0.063,0.726,0.303
S0056,Supplier D,13.73,1.88,0.137,0.213,0.603,0.396
S0057,Supplier E,6.64,3.71,0.108,0.191,0.824,0.239
S0058,Supplier F,8.76,3.02,0.14,0.234,0.896,0.268
S0059,Supplier G,11.33,2.86,0.124,0.058,0.608,0.304
S0060,Supplier H,13.9,2.58,0.126,0.053,0.451,0.375
S0061,Supplier I,8.08,2.69,0.09,0.145,0.578,0.301
S0062,Supplier J,9.26,4.05,0.053,0.161,0.482,0.334
S0063,Supplier K,5.57,2.66,0.04,0.13,0.68,0.22
S0064,Supplier L,5.22,1.66,0.056,0.158,0.494,0.29
S0065,Supplier M,13.25,3.74,0.098,0.061,0.678,0.293
